id,name,first_name,last_name,member_id,member_type,location_id,person_id,workspace_id,license_id,virtual_line_id,group_id,route_group_id,connection_type,language,address_1,city,state,postal_code,country,direct_number,webex_calling_enabled,source_method,raw_keys,raw_json
,loc-20251224-182147-04bb,,,,,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzBhMTgyM2FiLTgzM2YtNGM1MC1iZjYzLWRmY2U1Mzk3NWJhOA,,,,,,,,,,,,,,,True,telephony.locations.list,"calling_line_id,e911_setup_required,enforce_outside_dial_digit,location_id,name","{""calling_line_id"": {""phone_number"": ""+34935672109""}, ""e911_setup_required"": false, ""enforce_outside_dial_digit"": false, ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzBhMTgyM2FiLTgzM2YtNGM1MC1iZjYzLWRmY2U1Mzk3NWJhOA"", ""name"": ""loc-20251224-182147-04bb""}"
,Lab Location A,,,,,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA,,,,,,,,,,,,,,,True,telephony.locations.list,"calling_line_id,e911_setup_required,enforce_outside_dial_digit,location_id,name","{""calling_line_id"": {}, ""e911_setup_required"": false, ""enforce_outside_dial_digit"": false, ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OL2ZjODY3OGRhLTBiOGItNDBlZS04ZWVjLTNhNzFlODFiMzc0OA"", ""name"": ""Lab Location A""}"
,Site1,,,,,Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA,,,,,,,,,,,,,,,True,telephony.locations.list,"calling_line_id,e911_setup_required,enforce_outside_dial_digit,location_id,name","{""calling_line_id"": {}, ""e911_setup_required"": false, ""enforce_outside_dial_digit"": false, ""location_id"": ""Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA"", ""name"": ""Site1""}"
